,Year,Category,Data Type,val
31,1/1/1992,Food & Drinks,Sales- Monthly,30437
33,1/1/1992,Food & Drinks,Sales- Monthly,27835
39,1/1/1992,Pharmacy,Sales- Monthly,6461
69,1/1/1992,General Merch,Sales- Monthly,19879
73,1/1/1992,General Merch,Sales- Monthly,14134
93,1/1/1992,Food & Drinks,Sales- Monthly,17170
112,1/1/1992,Food & Drinks,Inventories- Monthly,26893
114,1/1/1992,General Merch,Inventories- Monthly,47543
115,1/1/1992,General Merch,Inventories- Monthly,36737
130,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.88
132,1/1/1992,General Merch,Inventories/Sales Ratio,2.39
133,1/1/1992,General Merch,Inventories/Sales Ratio,2.6
165,1/1/1992,Food & Drinks,Sales- Monthly,30382
167,1/1/1992,Food & Drinks,Sales- Monthly,27720
173,1/1/1992,Pharmacy,Sales- Monthly,6458
203,1/1/1992,General Merch,Sales- Monthly,20202
207,1/1/1992,General Merch,Sales- Monthly,14472
227,1/1/1992,Food & Drinks,Sales- Monthly,16990
246,1/1/1992,Food & Drinks,Inventories- Monthly,27010
248,1/1/1992,General Merch,Inventories- Monthly,47371
249,1/1/1992,General Merch,Inventories- Monthly,36616
264,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.89
266,1/1/1992,General Merch,Inventories/Sales Ratio,2.34
267,1/1/1992,General Merch,Inventories/Sales Ratio,2.53
273,1/1/1992,Food & Drinks,Inventories - Monthly Percent Change,0.4
275,1/1/1992,General Merch,Inventories - Monthly Percent Change,-0.4
276,1/1/1992,General Merch,Inventories - Monthly Percent Change,-0.3
299,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-0.2
300,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-0.4
303,1/1/1992,Pharmacy,Sales - Monthly Percent Change,0
312,1/1/1992,General Merch,Sales - Monthly Percent Change,1.6
313,1/1/1992,General Merch,Sales - Monthly Percent Change,2.4
321,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-1
399,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.5
400,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.5
403,1/1/1992,Pharmacy,Sales - Monthly Percent Change,0
412,1/1/1992,General Merch,Sales - Monthly Percent Change,-0.2
413,1/1/1992,General Merch,Sales - Monthly Percent Change,0.5
421,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-0.4
515,1/1/1992,Food & Drinks,Sales- Monthly,30526
517,1/1/1992,Food & Drinks,Sales- Monthly,27848
523,1/1/1992,Pharmacy,Sales- Monthly,6459
553,1/1/1992,General Merch,Sales- Monthly,20168
557,1/1/1992,General Merch,Sales- Monthly,14543
577,1/1/1992,Food & Drinks,Sales- Monthly,16916
596,1/1/1992,Food & Drinks,Inventories- Monthly,26859
598,1/1/1992,General Merch,Inventories- Monthly,47440
599,1/1/1992,General Merch,Inventories- Monthly,36760
614,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.88
616,1/1/1992,General Merch,Inventories/Sales Ratio,2.35
617,1/1/1992,General Merch,Inventories/Sales Ratio,2.53
623,1/1/1992,Food & Drinks,Inventories - Monthly Percent Change,-0.6
625,1/1/1992,General Merch,Inventories - Monthly Percent Change,0.1
626,1/1/1992,General Merch,Inventories - Monthly Percent Change,0.4
639,1/1/1992,Food & Drinks,Inventories - Monthly Percent Change,1.3
641,1/1/1992,General Merch,Inventories - Monthly Percent Change,1.1
642,1/1/1992,General Merch,Inventories - Monthly Percent Change,1.1
665,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.2
666,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,0.1
669,1/1/1992,Pharmacy,Sales - Monthly Percent Change,1.2
678,1/1/1992,General Merch,Sales - Monthly Percent Change,0.4
679,1/1/1992,General Merch,Sales - Monthly Percent Change,-0.1
687,1/1/1992,Food & Drinks,Sales - Monthly Percent Change,-1.4
781,1/1/1992,Food & Drinks,Sales- Monthly,30602
783,1/1/1992,Food & Drinks,Sales- Monthly,27867
789,1/1/1992,Pharmacy,Sales- Monthly,6534
819,1/1/1992,General Merch,Sales- Monthly,20258
823,1/1/1992,General Merch,Sales- Monthly,14529
843,1/1/1992,Food & Drinks,Sales- Monthly,16677
862,1/1/1992,Food & Drinks,Inventories- Monthly,27205
864,1/1/1992,General Merch,Inventories- Monthly,47951
865,1/1/1992,General Merch,Inventories- Monthly,37166
880,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.89
882,1/1/1992,General Merch,Inventories/Sales Ratio,2.37
883,1/1/1992,General Merch,Inventories/Sales Ratio,2.56
915,1/1/1992,Food & Drinks,Sales- Monthly,30718
917,1/1/1992,Food & Drinks,Sales- Monthly,27987
923,1/1/1992,Pharmacy,Sales- Monthly,6511
953,1/1/1992,General Merch,Sales- Monthly,20345
957,1/1/1992,General Merch,Sales- Monthly,14634
977,1/1/1992,Food & Drinks,Sales- Monthly,16602
996,1/1/1992,Food & Drinks,Inventories- Monthly,27434
998,1/1/1992,General Merch,Inventories- Monthly,47365
999,1/1/1992,General Merch,Inventories- Monthly,36642
1014,1/1/1992,Food & Drinks,Inventories/Sales Ratio,0.89
1016,1/1/1992,General Merch,Inventories/Sales Ratio,2.33
1017,1/1/1992,General Merch,Inventories/Sales Ratio,2.5
1023,1/1/1992,Food & Drinks,Inventories - Monthly Percent Change,0.8
1025,1/1/1992,General Merch,Inventories - Monthly Percent Change,-1.2
